사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지지번주소,소재지도로명주소
블리스버거&카페,2004-02-20,영업,,까페,서울특별시 관악구 신림동 1534-1 ,"서울특별시 관악구 호암로24길 34, 1층 (신림동)"
에이쓰리바우트커피(A3BOUT COFFEE),2004-03-10,영업,,까페,서울특별시 관악구 신림동 1515-5 지상1층 ,"서울특별시 관악구 호암로26길 47 (신림동,지상1층)"
이디야,2004-10-28,폐업,2018-01-16,까페,서울특별시 관악구 신림동 241-22 제1층10호 ,"서울특별시 관악구 신림로 91 (신림동,제1층10호)"
브이(V),2008-09-26,영업,,까페,서울특별시 관악구 신림동 1516-4 지하1층 ,"서울특별시 관악구 대학길 6, 지하1층 (신림동)"
앨리스(ALICE),2009-12-18,폐업,2018-04-12,까페,서울특별시 관악구 신림동 241-110 ,"서울특별시 관악구 대학5길 13 (신림동, 지상2층)"
데니스(Denis),2010-11-04,영업,,까페,서울특별시 관악구 신림동 1525-4 ,서울특별시 관악구 호암로 598 (신림동)
더 바리스타( the Barista),2010-11-08,폐업,2015-05-26,까페,서울특별시 관악구 신림동 238-10 ,서울특별시 관악구 신림로 89 (신림동)
킹,2010-11-29,폐업,2014-01-09,까페,서울특별시 관악구 신림동 1515-12 ,서울특별시 관악구 신림로 113 (신림동)
카페테로,2011-04-29,폐업,2017-03-02,까페,서울특별시 관악구 신림동 1519 ,서울특별시 관악구 호암로26길 48 (신림동)
GACHI(가치),2012-01-10,폐업,2018-06-26,까페,서울특별시 관악구 신림동 1518-18 지상1층 ,"서울특별시 관악구 호암로24길 65, 지상1층 (신림동)"
새봄에커피,2012-04-02,폐업,2012-12-31,까페,서울특별시 관악구 신림동 255-37 지상1층 ,"서울특별시 관악구 대학14길 18, 지상1층 (신림동)"
인아랑,2012-10-22,영업,,까페,서울특별시 관악구 신림동 1546-1 ,"서울특별시 관악구 호암로22길 50 (신림동, 지하1층)"
호떡카페,2013-04-15,폐업,2015-04-02,까페,서울특별시 관악구 신림동 246-46 ,"서울특별시 관악구 대학7길 2, 1층 (신림동)"
북션,2013-07-29,폐업,2020-03-12,까페,서울특별시 관악구 신림동 269-8 ,"서울특별시 관악구 신림로 117, 지상1층 (신림동)"
엘가커피 신림고시촌점,2014-01-02,폐업,2019-12-18,까페,서울특별시 관악구 신림동 1514-6 ,"서울특별시 관악구 호암로26길 13, 1층 (신림동)"
똥강아지들,2015-05-19,영업,,까페,서울특별시 관악구 신림동 1538-13 ,"서울특별시 관악구 호암로22길 77, 2층 (신림동)"
비비추,2009-01-02,폐업,2018-11-23,까페,서울특별시 관악구 신림동 107-103 ,"서울특별시 관악구 신림로 192, 지상1층 (신림동)"
