ID,Question,preANS,postANS
10221,Q1,4,5
10221,Q2,4,5
10221,Q3,4,5
10221,Q4,4,5
10221,Q5,4,5
10221,Q6,3,5
10221,Q7,4,5
10221,Q8,3,4
10221,Q9,4,5
10221,Q10,4,5
10221,Q11,4,5
10221,Q12,2,5
10221,Q13,4,5
10221,Q14,4,5
10221,Q15,4,5
10221,Q16,4,5
10221,Q17,4,5
10221,Q18,4,5
10221,Q19,4,5
10221,Q20,4,5
10221,Q21,4,5
10221,Q22,4,5
10221,Q23,4,5
10221,Q24,4,5
10221,Q25,4,5
10221,Q26,4,5
10221,Q27,4,5
10221,Q28,4,5
10119,Q1,5,5
10119,Q2,5,5
10119,Q3,5,5
10119,Q4,5,5
10119,Q5,5,5
10119,Q6,5,5
10119,Q7,5,5
10119,Q8,5,3
10119,Q9,5,4
10119,Q10,5,5
10119,Q11,5,5
10119,Q12,5,4
10119,Q13,5,5
10119,Q14,5,5
10119,Q15,5,4
10119,Q16,5,5
10119,Q17,5,5
10119,Q18,5,5
10119,Q19,5,5
10119,Q20,5,5
10119,Q21,5,5
10119,Q22,5,5
10119,Q23,5,5
10119,Q24,5,5
10119,Q25,5,5
10119,Q26,5,5
10119,Q27,5,5
10119,Q28,5,5
10807,Q1,3,4
10807,Q2,3,4
10807,Q3,4,5
10807,Q4,4,4
10807,Q5,3,4
10807,Q6,4,4
10807,Q7,4,4
10807,Q8,2,3
10807,Q9,4,5
10807,Q10,3,5
10807,Q11,3,4
10807,Q12,4,5
10807,Q13,4,4
10807,Q14,3,4
10807,Q15,3,4
10807,Q16,5,5
10807,Q17,4,4
10807,Q18,3,4
10807,Q19,3,4
10807,Q20,4,5
10807,Q21,3,4
10807,Q22,3,4
10807,Q23,2,3
10807,Q24,3,4
10807,Q25,4,4
10807,Q26,3,4
10807,Q27,3,4
10807,Q28,3,4
10804,Q1,4,5
10804,Q2,5,5
10804,Q3,5,5
10804,Q4,5,5
10804,Q5,5,4
10804,Q6,4,4
10804,Q7,5,5
10804,Q8,3,4
10804,Q9,4,4
10804,Q10,4,5
10804,Q11,3,4
10804,Q12,3,4
10804,Q13,4,5
10804,Q14,5,5
10804,Q15,4,4
10804,Q16,4,5
10804,Q17,5,5
10804,Q18,4,5
10804,Q19,4,4
10804,Q20,4,5
10804,Q21,5,5
10804,Q22,4,5
10804,Q23,5,4
10804,Q24,4,4
10804,Q25,5,5
10804,Q26,5,5
10804,Q27,4,5
10804,Q28,4,4
10108,Q1,3,4
10108,Q2,3,5
10108,Q3,4,5
10108,Q4,4,4
10108,Q5,4,5
10108,Q6,4,4
10108,Q7,4,4
10108,Q8,3,4
10108,Q9,3,4
10108,Q10,4,4
10108,Q11,4,4
10108,Q12,4,4
10108,Q13,4,5
10108,Q14,3,5
10108,Q15,3,4
10108,Q16,4,4
10108,Q17,4,5
10108,Q18,4,5
10108,Q19,4,5
10108,Q20,4,4
10108,Q21,4,5
10108,Q22,3,4
10108,Q23,3,4
10108,Q24,4,4
10108,Q25,4,4
10108,Q26,4,5
10108,Q27,4,4
10108,Q28,4,4
10202,Q1,4,4
10202,Q2,3,4
10202,Q3,5,5
10202,Q4,4,5
10202,Q5,4,5
10202,Q6,4,5
10202,Q7,5,5
10202,Q8,5,5
10202,Q9,5,5
10202,Q10,3,5
10202,Q11,4,5
10202,Q12,5,5
10202,Q13,4,5
10202,Q14,3,5
10202,Q15,3,4
10202,Q16,4,5
10202,Q17,3,5
10202,Q18,4,5
10202,Q19,4,5
10202,Q20,3,5
10202,Q21,3,5
10202,Q22,4,5
10202,Q23,3,5
10202,Q24,3,5
10202,Q25,4,5
10202,Q26,4,5
10202,Q27,4,5
10202,Q28,3,5
